postal,name,lat,lng,province
1980,Zemst,50.985535,4.455834,Vlaams-Brabant
1981,Hofstade,50.9916699,4.4924542,Vlaams-Brabant
1982,Elewijt,50.9618503,4.4964542,Vlaams-Brabant
1982,Weerde,50.9721843,4.4793294,Vlaams-Brabant
2000,Antwerpen,51.2198771,4.4011356,Antwerpen
2018,Antwerpen,51.2037695,4.4112637,Antwerpen
2020,Antwerpen,51.1890846,4.3836284,Antwerpen
2030,Antwerpen,51.2763963,4.3624604,Antwerpen
2040,Antwerpen,51.3418306,4.2964605,Antwerpen
2040,Berendrecht,51.34287,4.31409,Antwerpen
2040,Lillo,51.30436,4.28026,Antwerpen
2040,Zandvliet,51.35965,4.30716,Antwerpen
2050,Antwerpen,51.2287575,4.3740221,Antwerpen
2060,Antwerpen,51.2269388,4.4276298,Antwerpen
2070,Burcht,51.20367,4.34148,Antwerpen
2070,Zwijndrecht,51.2164116,4.3335905,Antwerpen
2099,Antwerpen X,51.2083343,4.4111603,Antwerpen
2100,Deurne,51.2207104,4.4648012,Antwerpen
2110,Wijnegem,51.2298182,4.5108974,Antwerpen
2140,Borgerhout,51.2143174,4.4348985,Antwerpen
2150,Borsbeek,51.1966684,4.4856299,Antwerpen
2160,Wommelgem,51.2021676,4.5219648,Antwerpen
2170,Merksem,51.2512741,4.448539,Antwerpen
2180,Ekeren,51.2807314,4.4184495,Antwerpen
2200,Herentals,51.1768785,4.835648,Antwerpen
2200,Morkhoven,51.1200863,4.8207292,Antwerpen
2200,Noorderwijk,51.1393923,4.8388348,Antwerpen
2220,Hallaar,51.08464,4.73293,Antwerpen
2220,Heist-Op-Den-Berg,51.0633847,4.7210601,Antwerpen
2221,Booischot,51.05151,4.77523,Antwerpen
2222,Itegem,51.10321,4.72927,Antwerpen
2222,Wiekevorst,51.10914,4.7944915,Antwerpen
2223,Schriek,51.02745,4.69272,Antwerpen
2230,Herselt,51.05238,4.88068,Antwerpen
2230,Ramsel,51.03211,4.8328,Antwerpen
2235,Houtvenne,51.04208,4.80894,Antwerpen
2235,Hulshout,51.0647242,4.816508,Antwerpen
2235,Westmeerbeek,51.06032,4.8351,Antwerpen
2240,Massenhoven,51.1986273,4.6364247,Antwerpen
2240,Viersel,51.1890184,4.6523097,Antwerpen
2240,Zandhoven,51.2021793,4.6554212,Antwerpen
2242,Pulderbos,51.2165685,4.6919,Antwerpen
2243,Pulle,51.2032977,4.7137397,Antwerpen
2250,Olen,51.1440245,4.8599119,Antwerpen
2260,Oevel,51.1387198,4.9042615,Antwerpen
2260,Tongerlo,51.10533,4.91565,Antwerpen
2260,Westerlo,51.0899524,4.9143395,Antwerpen
2260,Zoerle-Parwijs,51.08879,4.86894,Antwerpen
2270,Herenthout,51.1394506,4.7564892,Antwerpen
2275,Gierle,51.2671512,4.8677063,Antwerpen
2275,Lille,51.2420452,4.8232254,Antwerpen
2275,Poederlee,51.2263125,4.8353147,Antwerpen
2275,Wechelderzande,51.2645356,4.7999275,Antwerpen
2280,Grobbendonk,51.1832616,4.7349959,Antwerpen
2288,Bouwel,51.1719684,4.7420582,Antwerpen
2290,Vorselaar,51.2025247,4.7708827,Antwerpen
2300,Turnhout,51.3216509,4.9375577,Antwerpen
2310,Rijkevorsel,51.3480582,4.7605267,Antwerpen
2320,Hoogstraten,51.403297,4.7468218,Antwerpen
2321,Meer,51.4456,4.7383,Antwerpen
2322,Minderhout,51.41654,4.76339,Antwerpen
2323,Wortel,51.39751,4.79475,Antwerpen
2328,Meerle,51.4733516,4.803769,Antwerpen
2330,Merksplas,51.358185,4.8635657,Antwerpen
2340,Beerse,51.31949,4.85482,Antwerpen
2340,Vlimmeren,51.2971394,4.7820454,Antwerpen
2350,Vosselaar,51.3030836,4.8834494,Antwerpen
2360,Oud-Turnhout,51.3177601,4.982845,Antwerpen
2370,Arendonk,51.322049,5.0863348,Antwerpen
2380,Ravels,51.3762015,5.0185568,Antwerpen
2381,Weelde,51.406763,4.9908357,Antwerpen
2382,Poppel,51.4471741,5.0431801,Antwerpen
2387,Baarle-Hertog,51.441832,4.931736,Antwerpen
2390,Malle,51.2968136,4.6942633,Antwerpen
2390,Oostmalle,51.301137,4.7337542,Antwerpen
2390,Westmalle,51.2968136,4.6942633,Antwerpen
2400,Mol,51.191087,5.1170647,Antwerpen
2430,Eindhout,51.10334,4.9997,Antwerpen
2430,Laakdal,51.0873823,5.0242977,Antwerpen
2430,Vorst,51.07973,5.02024,Antwerpen
